word,total_count
自立自強,3
自行車,3
舉例來說,3
荷尔蒙,3
落井下石,3
视而不见,3
觉得很,3
言論自由,3
說不定,3
謝謝你,3
警察局,3
说不定,3
说真话,3
说起来,3
買東西,3
赶时间,3
跑出來,3
跳出來,3
跳出来,3
退回去,3
進一步,3
避重就轻,3
那時候,3
门当户对,3
阿美族,3
電動車,3
青少年,3
首先是,3
高材生,3
12w,2
2.0,2
6.2,2
agreed,2
annoying,2
attached,2
b4j,2
background,2
bng,2
boss,2
bro,2
btw,2
business,2
c3i,2
c8i,2
cctv,2
chinese,2
corruption,2
db1qk2pd8c,2
death,2
delivered,2
desire,2
digger,2
din,2
dna,2
emmm,2
ep3jd,2
f4r,2
f9p,2
feminist,2
finance,2
fu8od,2
fw4dl,2
g3i,2
g6j,2
game,2
gmail,2
gold,2
google,2
guide,2
h1j,2
human,2
independent,2
j5r9o,2
jg6vz,2
jpg,2
learning,2
lives,2
love,2
low,2
machine,2
matter,2
news,2
ng1qd4bn4s,2
nnjjjb,2
op4bl,2
people,2
q8g,2
r.i.p,2
r3f,2
r6p,2
r6y,2
ray,2
reviewers,2
ri8dg3ns9l,2
saga,2
shi,2
sjw,2
so9lw,2
solo,2
sss,2
superhero3232,2
t2f,2
target,2
terrible,2
tmd,2
tn1zf,2
told,2
v1f,2
waf,2
wl2zz5gm6o,2
xing,2
xw4cw,2
yng,2
z9q,2
zhn,2
一個樣,2
一把手,2
一掷千金,2
一會兒,2
一毛不拔,2
一而再,2
一艘船,2
一语惊醒,2
一面之詞,2
一首歌,2
万无一失,2
丈母娘,2
上世纪,2
不一致,2
不予置評,2
不信任,2
不值一提,2
不光是,2
不劳而获,2
不可思議,2
不可抗力,2
不可收拾,2
不可理喻,2
不在家,2
不得好死,2
不感兴趣,2
不折不扣,2
不擇手段,2
不止是,2
不正確,2
不知廉耻,2
不能自拔,2
不見了,2
不論是,2
世界中,2
丧心病狂,2
中國大陸,2
为何不,2
久而久之,2
乌克兰,2
也就是說,2
也許是,2
乱七八糟,2
亂丟垃圾,2
了解到,2
五六十歲,2
五十人,2
五官端正,2
享受到,2
人情世故,2
人民法院,2
仍然是,2
从来没,2
他妈的,2
仙人跳,2
以偏概全,2
以色列,2
低成本,2
佔便宜,2
你來我往,2
來不及,2
依旧是,2
偏執狂,2
停留在,2
健身房,2
傳過來,2
傻小子,2
傾家蕩產,2
僅僅是,2
先入為主,2
光怪陆离,2
光明正大,2
兔死狐悲,2
兩件事,2
兩句話,2
出生率,2
刑事犯罪,2
刘德华,2
副总裁,2
功利主義,2
十分鐘,2
十块钱,2
十塊錢,2
反倒是,2
反而會,2
受壓迫,2
受欢迎,2
口誅筆伐,2
另一邊,2
可信度,2
可笑的是,2
吃不上,2
吃軟飯,2
吃软饭,2
合法化,2
同样是,2
哥白尼,2
唯物主義,2
善有善報,2
国内外,2
坦白說,2
塑造成,2
多多少少,2
多少个,2
大事化小,2
大千世界,2
大多是,2
大道理,2
大驚小怪,2
天花板,2
好几天,2
如出一辙,2
娱乐场所,2
婚外情,2
嫁出去,2
嫁雞隨雞,2
守规矩,2
安息吧,2
完蛋了,2
害人不浅,2
寥寥无几,2
實質上,2
對不起,2
小孩子,2
小小的,2
小朋友,2
尤其在,2
居然是,2
屢見不鮮,2
工程師,2
市場上,2
年紀輕輕,2
幼稚園,2
幾十年,2
幾萬塊,2
徇私枉法,2
很大程度上,2
心地善良,2
心理學,2
心生不滿,2
心知肚明,2
必需品,2
志同道合,2
忙忙碌碌,2
怎麼辦,2
恐怕是,2
恰恰相反,2
惡有惡報,2
惦记着,2
想像力,2
意味著,2
感兴趣,2
感情用事,2
我也没,2
我愿意,2
我还没,2
或许是,2
房地产,2
所有權,2
手牽手,2
才会有,2
才算是,2
打不开,2
打官司,2
打抱不平,2
扣帽子,2
抱不平,2
拼了命,2
捕风捉影,2
换句话说,2
捨不得,2
放不下,2
放进去,2
敢不敢,2
斤斤計較,2
新一代,2
新台幣,2
无妄之灾,2
无巧不成书,2
暴脾气,2
暴露出,2
更愿意,2
曾经有,2
最厲害,2
最好能,2
有一套,2
有句话,2
有意義,2
有目共睹,2
有錢人,2
服兵役,2
本末倒置,2
本来是,2
李自成,2
来龙去脉,2
正義感,2
每一個,2
比不上,2
比如說,2
比起來,2
民主政治,2
沒道理,2
没找到,2
洋洋得意,2
活生生,2
派出所,2
消失掉,2
涉世不深,2
添油加醋,2
清官難斷,2
渥太华,2
演變成,2
灰姑娘,2
点到为止,2
烏合之眾,2
烏托邦,2
烏煙瘴氣,2
無期徒刑,2
無欲則剛,2
無疑是,2
無聲無息,2
煤气灯,2
爱因斯坦,2
父母親,2
牛鬼蛇神,2
物以類聚,2
物極必反,2
狐狸精,2
独一无二,2
玉石俱焚,2
现阶段,2
理直气壮,2
理直氣壯,2
甘之如飴,2
甜言蜜語,2
生搬硬套,2
男男女女,2
白吃白喝,2
百分之百,2
目前为止,2
省吃俭用,2
看上去,2
看不慣,2
看不見,2
看得出,2
睡来睡去,2
瞧不起,2
矫枉过正,2
研究所,2
社會學,2
神經病,2
站起來,2
站起来,2
笑死人,2
第三者,2
第二个,2
算進去,2
簡單說,2
終究是,2
絆腳石,2
絕口不提,2
總而言之,2
结论是,2
美其名曰,2
翻天覆地,2
翻白眼,2
老人家,2
老古董,2
而不能,2
肺腑之言,2
背地裡,2
自以為是,2
自作多情,2
自欺欺人,2
至少有,2
至死不渝,2
致命傷,2
花枝招展,2
荷爾蒙,2
萬念俱灰,2
補償金,2
見怪不怪,2
親朋好友,2
說不出,2
談不上,2
说实在的,2
说说看,2
負責人,2
貨真價實,2
貫徹始終,2
赎罪券,2
赤裸裸,2
赶鸭子上架,2
跳楼自杀,2
蹦出来,2
身分證,2
輕鬆自在,2
转嫁给,2
轻而易举,2
过不去,2
过生日,2
退一步,2
退休金,2
這幾天,2
造谣生事,2
道貌岸然,2
遙遙領先,2
適婚年齡,2
適當的,2
遮遮掩掩,2
還沒有,2
還真是,2
還算是,2
還願意,2
那件事,2
那句話,2
那幾個,2
都應該,2
都還沒,2
醍醐灌顶,2
錦上添花,2
長幼有序,2
長篇大論,2
門當戶對,2
開玩笑,2
關鍵字,2
除此之外,2
雪中送炭,2
電視劇,2
青梅竹馬,2
青紅皂白,2
面对现实,2
面對現實,2
養不起,2
骨子裡,2
高中生,2
鬧起來,2
鸡皮疙瘩,2
0.1,1
0.5,1
1.2,1
1.25,1
1.25x,1
1.5,1
100w,1
10w,1
12h,1
14.07,1
15pm,1
161.41,1
18.8w,1
19xx,1
2.30w,1
20.8,1
200w,1
2030cm,1
20，25,1
23，24,1
26.5,1
3.7,1
3.8,1
3000w,1
35w,1
38.8,1
38.8w,1
4.23,1
40w,1
44.8,1
5.1,1
5.2,1
5.20,1
5.20，5.21,1
5.60,1
5gal,1
6.00,1
7.00,1
7.5w,1
79.1,1
7，80,1
90，00,1
99.5,1
___,1
acquaintance,1
advice,1
affiliation,1
agree,1
alpha,1
altruism,1
apa,1
apply,1
arisawa,1
asi,1
asperger's,1
assist,1
b8z,1
baby,1
basic,1
beta,1
bh5ud,1
bilibili,1
bin,1
biss,1
black,1
blame,1
blocks,1
