word,n,rank
amendment,7,749
believable,7,750
believed,7,751
believes,7,752
benefit,7,753
billionaires,7,754
billions,7,755
books,7,756
bot,7,757
boy,7,758
brains,7,759
cable,7,760
capitalism,7,761
civilization,7,762
click,7,763
confuse,7,764
constantly,7,765
corporate,7,766
cuz,7,767
danger,7,768
deceive,7,769
deepfakes,7,770
delete,7,771
destroyed,7,772
destroying,7,773
determine,7,774
developed,7,775
dispatcher,7,776
dispatcher’s,7,777
distrust,7,778
driven,7,779
edit,7,780
episode,7,781
explain,7,782
facial,7,783
feed,7,784
follow,7,785
friends,7,786
gas,7,787
hahaha,7,788
helpful,7,789
hire,7,790
hispanic,7,791
identify,7,792
insane,7,793
inserted,7,794
i’d,7,795
jail,7,796
johnjones393,7,797
korea,7,798
land,7,799
landing,7,800
laugh,7,801
learning,7,802
legit,7,803
low,7,804
machines,7,805
majority,7,806
manipulation,7,807
meant,7,808
metadata,7,809
middle,7,810
minds,7,811
minute,7,812
moment,7,813
moral,7,814
nbc’s,7,815
net,7,816
newspapers,7,817
nialala_v,7,818
nope,7,819
paid,7,820
panic,7,821
parents,7,822
percent,7,823
pick,7,824
plan,7,825
politicians,7,826
press,7,827
print,7,828
profit,7,829
protections,7,830
reach,7,831
record,7,832
rely,7,833
requires,7,834
respond,7,835
responsible,7,836
sign,7,837
signature,7,838
skeptical,7,839
song,7,840
sow,7,841
space,7,842
spend,7,843
stay,7,844
strange,7,845
suddenly,7,846
systems,7,847
they’re,7,848
trayvon’s,7,849
trustworthy,7,850
upload,7,851
vaccine,7,852
warned,7,853
weapons,7,854
weather,7,855
wont,7,856
2000s,6,857
absolute,6,858
action,6,859
adding,6,860
ais,6,861
anchor,6,862
animals,6,863
anti,6,864
apparently,6,865
babies,6,866
baby,6,867
background,6,868
barely,6,869
benefits,6,870
biden,6,871
blockchain,6,872
bond6002,6,873
break,6,874
bros,6,875
build,6,876
bunch,6,877
button,6,878
cactuscowboydan,6,879
cadence,6,880
cancer,6,881
capacity,6,882
car,6,883
cared,6,884
caused,6,885
cbs,6,886
cell,6,887
censorship,6,888
century,6,889
chance,6,890
chatgpt,6,891
checking,6,892
child,6,893
citizens,6,894
class,6,895
compared,6,896
complaining,6,897
concern,6,898
conscious,6,899
couple,6,900
creation,6,901
creator,6,902
destruction,6,903
details,6,904
detector,6,905
differentiate,6,906
direction,6,907
dollar,6,908
dude,6,909
economy,6,910
effect,6,911
enforce,6,912
environment,6,913
existing,6,914
exists,6,915
expressions,6,916
eye,6,917
fabricated,6,918
fantasy,6,919
feels,6,920
field,6,921
films,6,922
fire,6,923
forget,6,924
gaza,6,925
goodbye,6,926
grow,6,927
held,6,928
hit,6,929
hold,6,930
holy,6,931
horrifying,6,932
idiocracy,6,933
ill,6,934
implement,6,935
improving,6,936
include,6,937
indistinguishable,6,938
influence,6,939
input,6,940
intelligent,6,941
international,6,942
iran,6,943
joking,6,944
key,6,945
killing,6,946
labeled,6,947
leaders,6,948
legally,6,949
legitimate,6,950
likes,6,951
listening,6,952
lived,6,953
looked,6,954
loves,6,955
mafla,6,956
maga,6,957
man's,6,958
mankind,6,959
market,6,960
matters,6,961
million,6,962
mirror,6,963
mislead,6,964
months,6,965
moving,6,966
narratives,6,967
negative,6,968
noticed,6,969
opposite,6,970
option,6,971
output,6,972
possibly,6,973
professional,6,974
refuse,6,975
resources,6,976
restricted,6,977
return,6,978
rid,6,979
rip,6,980
rise,6,981
risk,6,982
robotic,6,983
rule,6,984
scammers,6,985
scams,6,986
school,6,987
scientists,6,988
search,6,989
sell,6,990
service,6,991
signs,6,992
site,6,993
sloppy,6,994
smith,6,995
spent,6,996
strong,6,997
talent,6,998
theories,6,999
tiny,6,1000
tons,6,1001
top,6,1002
touch,6,1003
unlike,6,1004
view,6,1005
watched,6,1006
watermarked,6,1007
weeks,6,1008
we’ve,6,1009
win,6,1010
worth,6,1011
written,6,1012
ww3,6,1013
yep,6,1014
yup,6,1015
1990s,5,1016
actively,5,1017
admitted,5,1018
agendas,5,1019
ai's,5,1020
aifujairea,5,1021
aka,5,1022
allowing,5,1023
americathebeautiful,5,1024
apply,5,1025
articles,5,1026
artist,5,1027
attack,5,1028
banning,5,1029
bbc,5,1030
bias,5,1031
boomer,5,1032
bother,5,1033
bought,5,1034
breaks,5,1035
bring,5,1036
broadcast,5,1037
bye,5,1038
careful,5,1039
cartoon,5,1040
causing,5,1041
centuries,5,1042
changing,5,1043
character,5,1044
chores,5,1045
comparison,5,1046
complain,5,1047
concept,5,1048
confused,5,1049
congress,5,1050
considered,5,1051
convince,5,1052
convincing,5,1053
could've,5,1054
culture,5,1055
damage,5,1056
database,5,1057
decent,5,1058
definition,5,1059
detection,5,1060
device,5,1061
directly,5,1062
discern,5,1063
dna,5,1064
dollars,5,1065
don,5,1066
door,5,1067
